PClass,Sex,Age,Survived
3rd,male,22,no
1st,female,38,yes
3rd,female,26,yes
1st,female,35,yes
3rd,male,35,no
1st,male,54,no
3rd,male,2,no
3rd,female,27,yes
2nd,female,14,yes
3rd,female,4,yes
1st,female,58,yes
3rd,male,20,no
3rd,male,39,no
3rd,female,14,no
2nd,female,55,yes
3rd,male,2,no
3rd,female,31,no
2nd,male,35,no
2nd,male,34,yes
3rd,female,15,yes
1st,male,28,yes
3rd,female,8,no
3rd,female,38,yes
1st,male,19,no
1st,male,40,no
2nd,male,66,no
1st,male,28,no
1st,male,42,no
3rd,male,21,no
3rd,female,18,no
3rd,female,14,yes
3rd,female,40,no
2nd,female,27,no
2nd,female,3,yes
3rd,female,19,yes
3rd,female,18,no
3rd,male,7,no
3rd,male,21,no
1st,female,49,yes
2nd,female,29,yes
1st,male,65,no
2nd,female,21,yes
3rd,male,29,no
2nd,female,5,yes
3rd,male,11,no
3rd,male,22,no
1st,female,38,yes
1st,male,45,no
3rd,male,4,no
2nd,female,29,yes
3rd,male,19,no
3rd,female,17,yes
3rd,male,26,no
2nd,male,32,no
3rd,female,16,no
2nd,male,21,no
3rd,male,26,no
3rd,male,32,yes
3rd,male,25,no
2nd,male,1,yes
3rd,female,30,yes
3rd,male,22,no
3rd,male,29,yes
1st,male,28,no
2nd,female,17,yes
3rd,female,33,yes
3rd,male,16,no
1st,female,23,yes
3rd,male,24,no
3rd,male,29,no
3rd,male,20,no
1st,male,46,no
3rd,male,26,no
3rd,male,59,no
1st,male,71,no
1st,male,23,yes
2nd,female,34,yes
2nd,male,34,no
3rd,female,28,no
1st,male,21,no
3rd,male,33,no
3rd,male,37,no
3rd,male,28,no
3rd,female,21,yes
3rd,male,38,no
1st,male,47,no
3rd,female,15,no
3rd,male,22,no
3rd,female,20,no
3rd,female,17,no
3rd,male,21,no
3rd,male,71,no
2nd,male,29,no
1st,male,24,no
3rd,female,2,no
2nd,male,21,no
2nd,male,33,no
2nd,female,33,yes
1st,male,54,no
3rd,male,12,yes
3rd,male,24,yes
3rd,male,45,no
3rd,male,33,no
3rd,male,20,no
3rd,female,47,no
2nd,female,29,yes
2nd,male,25,no
2nd,male,23,no
1st,female,19,yes
1st,male,37,no
3rd,male,16,no
1st,male,24,no
3rd,female,22,yes
3rd,female,24,yes
3rd,male,19,no
2nd,male,18,no
2nd,male,19,no
3rd,male,27,yes
3rd,female,9,no
2nd,male,37,no
2nd,male,42,no
2nd,male,51,no
1st,female,22,yes
3rd,male,56,no
3rd,male,41,no
1st,male,51,no
3rd,female,16,yes
3rd,male,30,no
3rd,male,44,no
2nd,female,40,yes
3rd,male,26,no
3rd,male,17,no
3rd,male,1,no
3rd,male,9,yes
3rd,female,45,no
3rd,male,28,no
1st,male,61,no
3rd,male,4,no
3rd,female,1,yes
3rd,male,21,no
1st,male,56,no
3rd,male,18,no
1st,female,50,no
2nd,male,30,no
3rd,male,36,no
3rd,male,9,no
2nd,male,1,yes
3rd,female,4,yes
1st,male,45,yes
3rd,male,40,no
3rd,male,36,no
2nd,female,32,yes
2nd,male,19,no
3rd,female,19,yes
2nd,male,3,yes
1st,female,44,yes
1st,female,58,yes
3rd,male,42,no
2nd,female,24,no
3rd,male,28,no
3rd,male,34,no
3rd,male,46,no
3rd,male,18,yes
3rd,female,2,no
3rd,male,32,no
3rd,male,26,yes
3rd,female,16,yes
1st,male,40,yes
3rd,male,24,no
2nd,female,35,yes
3rd,male,22,no
2nd,male,30,no
1st,female,31,yes
3rd,female,27,yes
2nd,male,42,no
1st,female,32,yes
2nd,male,30,no
3rd,male,16,yes
2nd,male,27,no
3rd,male,51,no
1st,male,38,yes
3rd,male,22,no
2nd,male,19,yes
3rd,male,21,no
2nd,male,18,no
1st,female,35,yes
3rd,male,29,no
2nd,male,59,no
3rd,female,5,yes
2nd,male,24,no
2nd,male,44,no
2nd,female,8,yes
2nd,male,19,no
2nd,male,33,no
2nd,male,29,no
3rd,male,22,no
3rd,male,30,no
1st,male,44,no
3rd,female,25,no
2nd,female,24,yes
1st,male,37,yes
2nd,male,54,no
3rd,female,29,no
1st,male,62,no
3rd,male,30,no
3rd,female,41,no
3rd,female,29,yes
1st,female,30,yes
1st,female,35,yes
2nd,female,50,yes
3rd,male,3,yes
1st,male,52,no
1st,male,40,no
2nd,male,36,no
3rd,male,16,no
3rd,male,25,yes
1st,female,58,yes
1st,female,35,yes
3rd,male,25,yes
2nd,female,41,yes
1st,male,37,no
1st,female,63,yes
3rd,female,45,no
3rd,male,7,no
3rd,female,35,yes
3rd,male,65,no
3rd,male,28,no
3rd,male,16,no
3rd,male,19,yes
3rd,male,33,no
3rd,male,30,yes
3rd,male,22,no
2nd,male,42,yes
3rd,female,22,yes
1st,female,26,yes
1st,female,19,yes
2nd,male,36,no
3rd,female,24,no
3rd,male,24,no
3rd,male,24,no
1st,female,2,no
1st,female,50,yes
3rd,male,19,no
1st,male,1,yes
1st,female,17,yes
2nd,male,30,no
1st,female,30,yes
1st,female,24,yes
1st,female,18,yes
2nd,female,26,no
3rd,male,28,no
2nd,male,43,no
3rd,female,26,yes
2nd,female,24,yes
2nd,male,54,no
1st,female,31,yes
1st,female,40,yes
3rd,male,22,no
3rd,male,27,no
2nd,female,30,yes
2nd,female,22,yes
1st,female,36,yes
3rd,male,61,no
2nd,female,36,yes
3rd,female,31,yes
1st,female,16,yes
1st,male,46,no
1st,male,38,no
3rd,male,16,no
1st,male,29,no
1st,female,41,yes
3rd,male,45,yes
1st,male,45,no
2nd,male,2,yes
1st,female,24,yes
2nd,male,28,no
2nd,male,25,no
2nd,male,36,no
2nd,female,24,yes
2nd,female,40,yes
3rd,male,3,yes
3rd,male,42,no
3rd,male,23,no
3rd,male,15,no
3rd,male,25,no
3rd,male,28,no
1st,female,22,yes
2nd,female,38,no
3rd,male,40,no
2nd,male,29,no
3rd,female,45,no
3rd,male,35,no
3rd,male,30,no
1st,female,60,yes
1st,female,24,yes
1st,male,25,yes
3rd,male,18,no
3rd,male,19,no
1st,male,22,no
3rd,female,3,no
3rd,female,22,yes
1st,male,27,no
3rd,male,20,no
3rd,male,19,no
1st,female,42,yes
3rd,female,1,yes
3rd,male,32,no
1st,female,35,yes
2nd,male,18,no
3rd,male,1,no
2nd,female,36,yes
2nd,female,17,yes
1st,male,36,yes
3rd,male,21,yes
3rd,male,28,no
1st,female,23,yes
3rd,female,24,yes
3rd,male,22,no
3rd,female,31,no
2nd,male,46,no
2nd,male,23,no
2nd,female,28,yes
3rd,male,39,yes
3rd,male,26,no
3rd,female,21,no
3rd,male,28,no
3rd,female,20,no
2nd,male,34,no
3rd,male,51,no
2nd,male,3,yes
3rd,male,21,no
1st,female,33,yes
3rd,male,44,yes
2nd,female,34,yes
2nd,female,18,yes
2nd,male,30,no
3rd,female,10,no
3rd,male,21,no
3rd,male,29,no
3rd,female,28,no
3rd,male,18,no
2nd,female,28,yes
2nd,female,19,yes
3rd,male,32,yes
1st,male,28,yes
2nd,female,42,yes
3rd,male,17,no
1st,male,50,no
1st,female,14,yes
3rd,female,21,no
2nd,female,24,yes
1st,male,64,no
2nd,male,31,no
2nd,female,45,yes
3rd,male,20,no
3rd,male,25,no
2nd,female,28,yes
1st,male,4,yes
2nd,female,13,yes
1st,male,34,yes
3rd,female,5,yes
1st,male,52,yes
2nd,male,36,no
1st,male,30,no
1st,male,49,yes
3rd,male,29,yes
1st,male,65,no
2nd,female,50,yes
1st,male,48,yes
3rd,male,34,no
1st,male,47,no
2nd,male,48,no
3rd,male,38,no
1st,male,56,no
3rd,female,1,yes
3rd,male,38,no
2nd,female,33,yes
2nd,female,23,yes
3rd,female,22,no
2nd,male,34,no
3rd,male,29,no
3rd,male,22,no
3rd,female,2,yes
3rd,male,9,no
3rd,male,50,no
3rd,female,63,yes
1st,male,25,yes
1st,female,35,yes
1st,male,58,no
3rd,male,30,no
3rd,male,9,yes
3rd,male,21,no
1st,male,55,no
1st,male,71,no
3rd,male,21,no
1st,female,54,yes
1st,female,25,no
3rd,male,24,no
3rd,male,17,no
3rd,female,21,no
3rd,female,37,no
1st,female,16,yes
1st,male,18,no
2nd,female,33,yes
3rd,male,28,no
3rd,male,26,yes
3rd,male,29,yes
1st,male,36,yes
1st,female,54,yes
3rd,male,24,no
1st,male,47,no
2nd,female,34,yes
2nd,female,36,yes
3rd,male,32,no
1st,female,30,yes
3rd,male,22,no
1st,female,44,yes
3rd,male,41,no
2nd,female,50,yes
3rd,male,39,no
2nd,male,23,no
2nd,female,2,yes
3rd,male,17,no
3rd,female,30,no
2nd,female,7,yes
1st,male,45,no
1st,female,30,yes
1st,female,22,yes
1st,female,36,yes
3rd,female,9,no
3rd,female,11,no
2nd,male,32,yes
1st,male,50,no
1st,male,64,no
2nd,female,19,yes
3rd,male,33,no
2nd,male,8,yes
1st,male,17,yes
2nd,male,27,no
3rd,male,22,yes
3rd,female,22,yes
1st,male,62,no
1st,female,48,yes
1st,female,39,yes
3rd,female,36,yes
3rd,male,40,no
2nd,male,28,no
3rd,male,24,no
3rd,male,19,no
3rd,female,29,no
3rd,male,32,yes
2nd,male,62,yes
1st,female,53,yes
1st,male,36,yes
3rd,male,16,no
3rd,male,19,no
2nd,female,34,yes
1st,female,39,yes
3rd,male,32,yes
2nd,female,25,yes
1st,female,39,yes
2nd,male,54,no
1st,male,36,no
1st,female,18,yes
2nd,male,47,no
1st,male,60,yes
3rd,male,22,no
3rd,male,35,no
1st,female,52,yes
3rd,male,47,no
2nd,male,37,no
3rd,male,36,no
3rd,male,49,no
1st,male,49,yes
2nd,female,24,yes
3rd,male,44,no
1st,male,35,yes
3rd,male,36,no
3rd,male,30,no
1st,male,27,yes
2nd,female,22,yes
1st,female,40,yes
3rd,female,39,no
3rd,male,35,no
2nd,female,24,yes
3rd,male,34,no
3rd,female,26,no
2nd,female,4,yes
2nd,male,26,no
3rd,male,27,no
1st,male,42,yes
3rd,male,20,yes
3rd,male,21,no
3rd,male,21,no
1st,male,61,no
2nd,male,57,no
1st,female,21,yes
3rd,male,26,no
1st,male,80,yes
3rd,male,51,no
1st,male,32,yes
3rd,female,9,no
2nd,female,28,yes
3rd,male,32,no
2nd,male,31,no
3rd,female,41,no
3rd,male,20,no
1st,female,24,yes
3rd,female,2,no
3rd,female,1,yes
1st,male,48,yes
3rd,male,19,no
1st,male,56,yes
3rd,female,23,yes
2nd,female,18,yes
3rd,male,21,no
3rd,female,18,no
2nd,male,24,no
3rd,female,32,no
2nd,male,23,no
1st,male,58,no
1st,male,50,yes
3rd,male,40,no
1st,male,47,no
3rd,male,36,no
3rd,male,20,yes
2nd,male,32,no
2nd,male,25,no
3rd,male,43,no
2nd,female,40,yes
1st,male,31,no
2nd,male,70,no
2nd,male,31,yes
3rd,male,18,no
3rd,male,25,no
3rd,female,18,yes
3rd,female,43,no
1st,male,36,yes
1st,male,27,yes
3rd,male,20,no
3rd,male,14,no
2nd,male,60,no
2nd,male,25,no
3rd,male,14,no
3rd,male,19,no
3rd,male,18,no
1st,female,15,yes
1st,male,31,yes
3rd,female,4,yes
3rd,male,25,no
1st,male,60,no
2nd,male,52,no
3rd,male,44,no
1st,male,49,no
3rd,male,42,no
1st,female,18,yes
1st,male,35,yes
3rd,female,18,no
3rd,male,25,no
3rd,male,26,no
2nd,male,39,no
2nd,female,45,yes
1st,male,42,yes
1st,female,22,yes
1st,female,24,yes
1st,male,48,yes
3rd,male,29,no
2nd,male,52,no
3rd,male,19,no
1st,female,38,yes
2nd,female,27,yes
3rd,male,33,no
2nd,female,6,yes
